t,U
5.945977273,-1.57839613
5.987477273,-1.509354296
6.018113636,-1.57839613
6.059613636,-1.57839613
6.101113636,-1.486340352
6.142613636,-1.37127063
6.184113636,-1.161268387
6.225613636,-0.9138684839
6.267113636,-0.7240034422
6.308613636,-0.3126291851
6.352209596,0.1233572069
6.389727273,0.5829009282
6.421795455,1.319306054
6.446318182,2.113424126
6.472727273,2.899254437
6.499136364,3.749691603
6.527431818,4.535961417
6.548181818,5.327944762
6.578363636,6.150693276
6.608545455,7.139573702
6.634954545,7.988692361
6.661363636,8.737604469
6.687772727,9.444324347
6.712295455,10.19775705
6.738704545,10.86680529
6.772659091,11.4590034
6.814159091,11.67188239
6.848113636,11.19228822
6.87075,10.45271868
6.876409091,9.766040112
6.895272727,9.054046206
6.902818182,8.373696473
6.914136364,7.424371264
6.929227273,6.395935622
6.936772727,5.378048037
6.944318182,4.550025494
6.955636364,3.500493736
6.969469697,2.503702267
6.977015152,1.586021232
6.985818182,0.8265610651
6.989590909,-0.1508922978
7.006568182,-1.019349063
7.017886364,-1.546751956
7.022287879,-2.42224076
7.031090909,-3.11313855
7.042409091,-3.888420804
7.074477273,-4.834869269
7.115977273,-4.869390186
7.157477273,-4.268150887
7.198977273,-3.825132457
7.240477273,-3.523074436
7.281977273,-3.44252563
7.323477273,-3.23540013
7.364977273,-2.982246741
7.406477273,-2.683065463
7.447977273,-2.435665561
7.489477273,-2.314842352
7.530977273,-2.061688963
7.572477273,-1.831549519
7.613977273,-1.831549519
7.655477273,-1.78552163
7.696977273,-1.704972824
7.738477273,-1.658944935
7.779977273,-1.57839613
7.821477273,-1.647437963
7.862977273,-1.704972824
7.904477273,-1.658944935
7.945977273,-1.57839613
7.987477273,-1.509354296
8.018113636,-1.57839613
8.059613636,-1.57839613
8.101113636,-1.486340352
8.142613636,-1.37127063
8.184113636,-1.161268387
8.225613636,-0.9138684839
8.267113636,-0.7240034422
8.308613636,-0.3126291851
8.352209596,0.1233572069
8.389727273,0.5829009282
8.421795455,1.319306054
8.446318182,2.113424126
8.472727273,2.899254437
