t,V_h
0.04860946356,0.00246965901
0.144879399,0.002436550307
0.2411493344,0.002408758331
0.3374192698,0.002390874798
0.4336892052,0.002392083145
0.5255832345,0.002425747687
0.5999736391,0.002486472293
0.652484513,0.002544576512
0.6962435745,0.002605187189
0.7400026361,0.0026689879
0.7793857915,0.002733320285
0.8143930407,0.002795791815
0.84940029,0.002854608096
0.8887834454,0.002915683986
0.9552972189,0.002971775445
1.046316067,0.002956622776
1.120706472,0.002888502224
1.195096876,0.002833156584
1.278239093,0.002775056584
1.370133122,0.002716886768
1.466403058,0.002666136202
1.562672993,0.002623602394
1.658942929,0.002583001941
1.755212864,0.002546751537
1.8514828,0.002510017794
1.947752735,0.002474009059
2.04402267,0.002442592041
2.140292606,0.002418666775
2.236562541,0.002405544128
2.332832477,0.002410691686
2.429102412,0.00245056713
2.507868723,0.002511536858
2.564755503,0.002572932384
2.612890471,0.002640809253
2.652273626,0.002703413701
2.687280875,0.002758574733
2.731039937,0.00282680605
2.805430341,0.002884846975
2.901700277,0.002872280168
2.9892184,0.002808935943
3.076736523,0.00275772889
3.173006458,0.002707219994
3.269276394,0.00265912779
3.365546329,0.002615868974
3.461816265,0.002572368489
3.5580862,0.002533218052
3.654356135,0.002497934325
3.702965599,0.00246965901
3.799235534,0.002436550307
3.89550547,0.002408758331
3.991775405,0.002390874798
4.088045341,0.002392083145
4.17993937,0.002425747687
4.254329775,0.002486472293
4.306840648,0.002544576512
4.35059971,0.002605187189
4.394358772,0.0026689879
4.433741927,0.002733320285
4.468749176,0.002795791815
4.503756425,0.002854608096
4.543139581,0.002915683986
4.609653354,0.002971775445
4.700672202,0.002956622776
4.775062607,0.002888502224
4.849453012,0.002833156584
4.932595229,0.002775056584
5.024489258,0.002716886768
5.120759193,0.002666136202
5.217029129,0.002623602394
5.313299064,0.002583001941
5.409569,0.002546751537
5.505838935,0.002510017794
5.60210887,0.002474009059
5.698378806,0.002442592041
5.794648741,0.002418666775
5.890918677,0.002405544128
5.987188612,0.002410691686
6.083458548,0.00245056713
6.162224858,0.002511536858
6.219111638,0.002572932384
6.267246606,0.002640809253
6.306629761,0.002703413701
6.341637011,0.002758574733
6.385396072,0.00282680605
6.459786477,0.002884846975
6.556056412,0.002872280168
6.643574535,0.002808935943
6.731092658,0.00275772889
6.827362594,0.002707219994
6.923632529,0.00265912779
7.019902465,0.002615868974
7.1161724,0.002572368489
7.212442336,0.002533218052
7.308712271,0.002497934325
7.357321735,0.00246965901
7.45359167,0.002436550307
7.549861605,0.002408758331
7.646131541,0.002390874798
7.742401476,0.002392083145
7.834295505,0.002425747687
7.90868591,0.002486472293
7.961196784,0.002544576512
8.004955846,0.002605187189
8.048714907,0.0026689879
8.088098062,0.002733320285
8.123105312,0.002795791815
8.158112561,0.002854608096
8.197495716,0.002915683986
8.26400949,0.002971775445
8.355028338,0.002956622776
8.429418743,0.002888502224
8.503809147,0.002833156584
8.586951364,0.002775056584
8.678845393,0.002716886768
8.775115329,0.002666136202
8.871385264,0.002623602394
8.9676552,0.002583001941
9.063925135,0.002546751537
9.160195071,0.002510017794
9.256465006,0.002474009059
9.352734941,0.002442592041
9.449004877,0.002418666775
9.545274812,0.002405544128
9.641544748,0.002410691686
9.737814683,0.00245056713
9.816580994,0.002511536858
9.873467774,0.002572932384
9.921602742,0.002640809253
9.960985897,0.002703413701
9.995993146,0.002758574733
10.03975221,0.00282680605
10.11414261,0.002884846975
10.21041255,0.002872280168
10.29793067,0.002808935943
10.38544879,0.00275772889
10.48171873,0.002707219994
10.57798866,0.00265912779
10.6742586,0.002615868974
10.77052854,0.002572368489
10.86679847,0.002533218052
10.96306841,0.002497934325
11.01167787,0.00246965901
11.10794781,0.002436550307
11.20421774,0.002408758331
11.30048768,0.002390874798
11.39675761,0.002392083145
11.48865164,0.002425747687
11.56304205,0.002486472293
11.61555292,0.002544576512
11.65931198,0.002605187189
11.70307104,0.0026689879
11.7424542,0.002733320285
11.77746145,0.002795791815
11.8124687,0.002854608096
11.85185185,0.002915683986
11.91836563,0.002971775445
12.00938447,0.002956622776
12.08377488,0.002888502224
12.15816528,0.002833156584
12.2413075,0.002775056584
12.33320153,0.002716886768
12.42947146,0.002666136202
12.5257414,0.002623602394
12.62201134,0.002583001941
12.71828127,0.002546751537
12.81455121,0.002510017794
12.91082114,0.002474009059
13.00709108,0.002442592041
13.10336101,0.002418666775
13.19963095,0.002405544128
13.29590088,0.002410691686
13.39217082,0.00245056713
13.47093713,0.002511536858
13.52782391,0.002572932384
13.57595888,0.002640809253
13.61534203,0.002703413701
13.65034928,0.002758574733
13.69410834,0.00282680605
13.76849875,0.002884846975
13.86476868,0.002872280168
13.95228681,0.002808935943
14.03980493,0.00275772889
14.13607486,0.002707219994
14.2323448,0.00265912779
14.32861474,0.002615868974
14.42488467,0.002572368489
14.52115461,0.002533218052
14.61742454,0.002497934325
14.66603401,0.00246965901
14.76230394,0.002436550307
14.85857388,0.002408758331
14.95484381,0.002390874798
15.05111375,0.002392083145
15.14300778,0.002425747687
15.21739818,0.002486472293
15.26990905,0.002544576512
15.31366812,0.002605187189
15.35742718,0.0026689879
15.39681033,0.002733320285
15.43181758,0.002795791815
15.46682483,0.002854608096
15.50620799,0.002915683986
15.57272176,0.002971775445
15.66374061,0.002956622776
15.73813101,0.002888502224
15.81252142,0.002833156584
15.89566364,0.002775056584
15.98755766,0.002716886768
16.0838276,0.002666136202
16.18009754,0.002623602394
16.27636747,0.002583001941
16.37263741,0.002546751537
16.46890734,0.002510017794
16.56517728,0.002474009059
16.66144721,0.002442592041
16.75771715,0.002418666775
16.85398708,0.002405544128
16.95025702,0.002410691686
17.04652695,0.00245056713
17.12529326,0.002511536858
17.18218004,0.002572932384
17.23031501,0.002640809253
17.26969817,0.002703413701
17.30470542,0.002758574733
17.34846448,0.00282680605
17.42285488,0.002884846975
17.51912482,0.002872280168
17.60664294,0.002808935943
17.69416106,0.00275772889
17.790431,0.002707219994
17.88670094,0.00265912779
17.98297087,0.002615868974
18.07924081,0.002572368489
18.17551074,0.002533218052
18.27178068,0.002497934325
18.32039014,0.00246965901
18.41666008,0.002436550307
18.51293001,0.002408758331
18.60919995,0.002390874798
18.70546988,0.002392083145
18.79736391,0.002425747687
18.87175432,0.002486472293
18.92426519,0.002544576512
18.96802425,0.002605187189
19.01178331,0.0026689879
19.05116647,0.002733320285
19.08617372,0.002795791815
19.12118097,0.002854608096
19.16056412,0.002915683986
19.2270779,0.002971775445
19.31809674,0.002956622776
19.39248715,0.002888502224
19.46687755,0.002833156584
19.55001977,0.002775056584
19.6419138,0.002716886768
19.73818374,0.002666136202
19.83445367,0.002623602394
19.93072361,0.002583001941
20.02699354,0.002546751537
20.12326348,0.002510017794
20.21953341,0.002474009059
20.31580335,0.002442592041
20.41207328,0.002418666775
20.50834322,0.002405544128
20.60461315,0.002410691686
20.70088309,0.00245056713
20.7796494,0.002511536858
20.83653618,0.002572932384
20.88467115,0.002640809253
20.9240543,0.002703413701
